
2024/06/18 (19:24:15) | ===> btop++ v.1.3.2
2024/06/18 (19:24:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:25:54) | ===> btop++ v.1.3.2
2024/06/18 (19:25:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:26:03) | ===> btop++ v.1.3.2
2024/06/18 (19:26:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:27:49) | ===> btop++ v.1.3.2
2024/06/18 (19:27:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:27:52) | ===> btop++ v.1.3.2
2024/06/18 (19:27:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (11:17:12) | ===> btop++ v.1.3.2
2024/06/20 (11:17:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
